"",logFC,AveExpr,t,P.Value,adj.P.Val,B
720_226.180245,0.65623,-5.7801e-16,2.9067,0.011569,0.056203,-3.3186
896_185.431769,0.7237,-3.3029e-16,2.889,0.01198,0.057965,-3.3522
263_249.109821,-0.65487,5.7732e-16,-2.8844,0.012088,0.058254,-3.3609
661_182.044863,0.67581,-3.525e-16,2.8721,0.012384,0.059445,-3.3842
924_323.057736,-0.71777,-1.5214e-16,-2.8675,0.012496,0.059743,-3.3929
16_244.190811,0.67168,1.3878e-17,2.8617,0.012641,0.060194,-3.4039
928_191.104328,0.66996,6.9805e-16,2.8397,0.013199,0.062606,-3.4455
613_172.977045,-1.1936,-2.2204e-17,-2.8256,0.013571,0.064115,-3.4722
699_360.214614,-0.66018,-9.0067e-16,-2.8208,0.013698,0.06445,-3.4811
42_255.231954,0.59363,-4.2327e-16,2.8189,0.013749,0.06445,-3.4847
777_138.088983,-0.61115,4.0246e-16,-2.8093,0.01401,0.065419,-3.5028
736_353.090855,-0.71092,-7.9901e-16,-2.7985,0.01431,0.066559,-3.5231
617_219.026637,0.72103,-3.1364e-16,2.7818,0.014787,0.068509,-3.5545
1032_223.063738,0.61034,-6.0785e-16,2.7755,0.014972,0.0691,-3.5664
84_561.360892,-0.64173,3.6637e-16,-2.7564,0.015543,0.071462,-3.6023
119_293.208814,-0.54552,9.5132e-16,-2.7373,0.016135,0.073902,-3.6381
1042_625.097675,0.69608,4.9405e-16,2.7144,0.016874,0.076993,-3.6808
807_277.128278,0.64368,1.9845e-16,2.7118,0.01696,0.07709,-3.6857
15_203.052691,0.71743,4.6213e-16,2.7051,0.017183,0.077559,-3.6982
1229_446.266996,-0.64738,3.747e-16,-2.7048,0.017192,0.077559,-3.6987
916_556.280648,0.70343,-4.7323e-16,2.7021,0.017284,0.07768,-3.7037
1071_317.120788,-0.61972,-3.6776e-16,-2.6891,0.017727,0.079375,-3.7279
177_318.167676,-0.54931,6.7862e-16,-2.6828,0.017948,0.079882,-3.7397
734_231.159176,-0.63785,-5.5511e-16,-2.6821,0.017974,0.079882,-3.741
248_391.125946,-0.70248,-1.4815e-16,-2.6655,0.018562,0.082195,-3.7718
201_164.930065,-0.84408,6.2728e-16,-2.6574,0.018858,0.083199,-3.7868
728_220.996962,-0.78358,5.5372e-16,-2.6508,0.019101,0.083961,-3.799
184_362.253793,-0.79122,2.5951e-16,-2.6459,0.019286,0.084464,-3.8082
162_205.062468,-0.57323,-4.2466e-16,-2.6378,0.019593,0.085496,-3.8232
817_393.224834,-0.55675,4.3633e-16,-2.6167,0.020412,0.088673,-3.8621
142_241.216301,0.52431,-9.6312e-16,2.6151,0.020476,0.088673,-3.8651
83_473.308531,-0.61954,-1.929e-16,-2.6134,0.020543,0.088673,-3.8681
979_311.146605,-0.64281,5.2597e-16,-2.6061,0.020838,0.089627,-3.8817
134_649.413266,-0.54435,2.2482e-16,-2.6005,0.021066,0.090284,-3.892
780_304.15203,-0.61671,-1.9255e-16,-2.5936,0.021347,0.09116,-3.9046
218_323.086095,0.68843,-1.5335e-16,2.5907,0.021468,0.091353,-3.9099
936_268.154433,0.64618,-3.6013e-16,2.5796,0.021935,0.093011,-3.9303
6_317.151447,-0.56697,-1.0464e-15,-2.5754,0.022117,0.093206,-3.9382
956_283.102842,0.68689,3.1156e-16,2.5749,0.022136,0.093206,-3.939
722_279.170421,0.69843,-7.7438e-16,2.573,0.022217,0.093217,-3.9424
140_320.865613,-0.83335,2.086e-17,-2.5697,0.022363,0.093504,-3.9486
710_279.987704,0.59068,5.8703e-16,2.5635,0.022631,0.094161,-3.9599
202_254.823806,-0.85995,4.7184e-16,-2.5625,0.022677,0.094161,-3.9618
1030_537.339828,-0.64882,-8.4099e-16,-2.55,0.023231,0.095914,-3.9847
1031_279.156782,-0.61017,5.6066e-16,-2.5494,0.023259,0.095914,-3.9858
