"",logFC,AveExpr,t,P.Value,adj.P.Val,B
3638_595.563653,-0.42593,5.0793e-16,-1.4321,0.15675,0.46146,-4.9678
3623_589.303215,-0.42513,-1.7208e-16,-1.4296,0.15747,0.46146,-4.9711
785_658.198954,0.45647,-6.1826e-16,1.4294,0.15752,0.46146,-4.9714
3750_759.49226,-0.42445,-3.4972e-16,-1.428,0.15791,0.46146,-4.9731
3658_589.541243,-0.42445,1.4988e-16,-1.4275,0.15805,0.46146,-4.9738
80_294.170084,-0.40384,1.0131e-15,-1.423,0.15936,0.46172,-4.9797
629_202.180242,0.42942,1.5266e-16,1.4229,0.1594,0.46172,-4.9798
2121_672.379012,-0.42383,1.6931e-16,-1.422,0.15965,0.46172,-4.981
182_196.094497,0.42753,-1.6688e-16,1.4219,0.15968,0.46172,-4.9811
3832_696.08298,-0.42181,6.9111e-16,-1.4199,0.16025,0.46227,-4.9837
3894_788.596391,-0.42134,-1.6653e-16,-1.4185,0.16067,0.46235,-4.9855
1718_590.020751,-0.42053,-5.0793e-16,-1.4161,0.16137,0.46326,-4.9887
1861_889.745377,-0.41984,8.3267e-18,-1.414,0.16199,0.46392,-4.9914
1452_512.681812,-0.4185,5.5511e-18,-1.4074,0.16392,0.46651,-4.9999
1995_652.199566,-0.41879,8.521e-16,-1.4072,0.16397,0.46651,-5.0001
886_111.095277,-0.40783,-8.1185e-16,-1.4069,0.16406,0.46651,-5.0005
1061_474.285065,-0.42056,-4.8295e-16,-1.4039,0.16496,0.46796,-5.0044
2440_631.78034,-0.41497,5.1625e-16,-1.3982,0.16666,0.47088,-5.0117
2052_641.048514,-0.41457,8.3267e-18,-1.3956,0.16744,0.47088,-5.015
4173_799.147832,-0.4139,-3.5527e-16,-1.3955,0.16747,0.47088,-5.0152
2371_684.385153,-0.41434,5.5511e-18,-1.3941,0.16787,0.47088,-5.0169
1481_898.935853,-0.41378,5.2458e-16,-1.3937,0.16798,0.47088,-5.0173
4708_487.293497,-0.41288,-5.3013e-16,-1.3926,0.16834,0.47088,-5.0189
1116_379.193931,-0.42728,-5.5338e-16,-1.3903,0.16901,0.47129,-5.0217
4747_790.376797,-0.41162,-5.3291e-16,-1.3886,0.16953,0.47129,-5.0238
162_205.062468,-0.39522,9.8671e-16,-1.3882,0.16966,0.47129,-5.0244
1127_157.083572,0.41147,5.0012e-16,1.3855,0.17047,0.47244,-5.0278
1073_399.178849,-0.41766,-4.6352e-16,-1.3814,0.17171,0.47479,-5.033
